time,battery
1721885102.613,55,
1721885103.57,55,
1721885105.055,55,
1721885105.564,55,
1721885106.548,55,
1721885108.052,55,
1721885108.548,55,
1721885110.045,55,
1721885110.549,55,
1721885111.527,55,
1721885112.51,55,
1721885113.499,55,
1721885114.983,55,
1721885115.484,55,
1721885116.482,55,
1721885118.003,55,
1721885118.505,55,
1721885119.496,55,
1721885120.5,55,
1721885121.491,55,
1721885122.49,55,
1721885125.011,55,
1721885125.505,54,
1721885127.499,54,
1721885128.499,54,
1721885130.006,54,
1721885130.486,54,
1721885131.972,54,
1721885133.983,54,
1721885134.485,54,
1721885135.48,54,
1721885136.97,54,
1721885137.464,54,
1721885138.446,54,
1721885139.452,54,
1721885140.438,54,
1721885141.917,54,
1721885142.424,54,
1721885143.439,54,
1721885144.441,54,
1721885145.454,54,
1721885146.446,54,
1721885147.466,54,
1721885148.464,54,
1721885149.97,54,
1721885150.464,54,
1721885151.96,54,
1721885152.475,54,
1721885154.486,54,
1721885155.999,54,
1721885156.487,54,
1721885157.978,54,
1721885158.966,54,
1721885159.483,54,
1721885160.496,54,
1721885161.48,54,
1721885162.972,54,
1721885163.466,54,
1721885164.962,54,
1721885165.478,54,
1721885166.457,54,
1721885167.934,54,
1721885168.454,54,
1721885169.439,54,
1721885170.928,54,
1721885172.428,54,
1721885173.924,54,
1721885174.922,54,
1721885175.916,54,
1721885177.45,54,
1721885178.452,54,
1721885179.936,54,
1721885180.436,54,
1721885181.417,54,
1721885182.416,54,
1721885183.412,54,
1721885184.413,54,
1721885185.435,54,
1721885186.418,54,
1721885187.903,54,
1721885188.402,54,
1721885189.399,54,
1721885190.893,54,
1721885192.383,54,
1721885193.376,54,
1721885194.362,54,
1721885195.881,54,
1721885196.401,54,
1721885197.381,54,
1721885198.398,54,
1721885200.9,54,
1721885201.901,54,
1721885203.394,54,
1721885204.874,54,
1721885205.377,54,
1721885206.374,54,
1721885207.885,54,
1721885208.381,54,
1721885209.378,54,
1721885210.364,54,
1721885211.861,54,
1721885212.36,54,
1721885213.362,54,
1721885214.365,54,
1721885215.364,54,
1721885217.841,54,
1721885218.337,54,
1721885219.347,54,
1721885220.841,54,
1721885221.331,54,
1721885222.828,54,
1721885223.837,54,
1721885225.816,54,
1721885227.313,54,
1721885229.803,54,
1721885230.316,54,
1721885231.321,54,
1721885233.287,54,
1721885234.29,54,
1721885235.782,54,
1721885236.284,54,
1721885237.277,54,
1721885238.791,54,
1721885239.279,54,
1721885240.269,54,
1721885241.281,54,
1721885242.29,54,
1721885243.301,54,
1721885244.815,54,
1721885246.328,54,
1721885247.309,54,
1721885248.295,54,
1721885249.287,54,
1721885250.288,54,
1721885251.281,54,
1721885252.288,54,
1721885253.295,54,
1721885255.28,54,
1721885256.259,54,
1721885257.259,54,
1721885258.227,54,
1721885259.225,54,
1721885260.225,54,
1721885261.238,54,
1721885262.249,54,
1721885263.227,54,
1721885264.227,54,
1721885265.222,54,
1721885266.211,54,
1721885267.736,54,
1721885268.725,54,
1721885269.216,54,
1721885271.19,54,
1721885272.201,54,
1721885273.194,54,
1721885274.204,54,
