time,quality_max
1721885390.535,53,
1721885391.037,53,
1721885393.51,48,
1721885394.019,48,
1721885395.007,68,
1721885396.017,70,
1721885397.01,71,
1721885398.482,77,
1721885399.976,77,
1721885400.945,77,
1721885401.953,77,
1721885402.967,77,
1721885403.938,77,
1721885404.959,68,
1721885405.942,62,
1721885406.958,54,
1721885408.463,74,
1721885408.962,74,
1721885410.463,74,
1721885410.955,74,
1721885411.937,74,
1721885412.929,74,
1721885414.434,69,
1721885415.405,69,
1721885415.899,69,
1721885416.899,71,
1721885417.895,71,
1721885419.379,71,
1721885419.89,71,
1721885420.898,71,
1721885421.898,71,
1721885422.92,59,
1721885423.888,59,
1721885424.883,59,
1721885425.861,59,
1721885427.366,56,
1721885428.87,62,
1721885429.846,62,
1721885430.833,62,
1721885432.838,62,
1721885433.834,62,
1721885434.842,53,
1721885435.832,57,
1721885437.327,57,
1721885437.847,57,
1721885438.849,57,
1721885439.858,66,
1721885441.345,69,
1721885442.336,69,
1721885442.833,69,
1721885443.815,71,
1721885444.826,71,
1721885445.838,71,
1721885447.846,71,
1721885448.877,71,
1721885450.385,68,
1721885450.882,68,
1721885453.387,68,
1721885453.88,68,
1721885454.868,68,
1721885455.879,68,
1721885457.386,68,
1721885457.886,68,
1721885459.882,61,
1721885460.849,61,
1721885462.33,61,
1721885463.311,61,
1721885463.816,61,
1721885465.313,71,
1721885465.808,71,
1721885466.798,71,
1721885468.295,71,
1721885469.801,71,
1721885471.286,77,
1721885471.788,77,
1721885472.798,77,
1721885473.824,77,
1721885474.828,77,
1721885476.832,73,
1721885477.842,73,
1721885479.794,62,
1721885480.808,67,
1721885482.291,74,
1721885482.778,78,
1721885483.761,78,
1721885487.224,78,
1721885489.209,76,
1721885489.707,76,
1721885490.698,73,
1721885492.184,71,
1721885493.172,71,
1721885494.652,71,
1721885496.176,71,
1721885498.69,65,
1721885500.176,65,
1721885501.164,58,
1721885502.671,53,
1721885505.634,45,
1721885506.636,43,
1721885508.141,43,
1721885509.649,51,
1721885511.124,56,
1721885512.607,69,
1721885513.601,69,
1721885514.571,69,
1721885516.084,69,
1721885516.579,69,
1721885518.062,69,
1721885518.561,57,
1721885519.563,65,
1721885520.566,65,
1721885521.545,65,
1721885522.548,65,
1721885523.556,65,
1721885524.549,65,
1721885525.539,58,
1721885527.036,57,
1721885527.526,57,
1721885529.021,61,
1721885530.037,61,
1721885530.533,61,
1721885532.014,61,
1721885532.503,61,
1721885533.525,62,
1721885535.014,62,
1721885535.517,62,
1721885537.019,62,
1721885537.524,62,
1721885538.538,62,
1721885540.013,61,
1721885540.504,61,
1721885541.506,61,
1721885542.512,55,
1721885543.516,55,
1721885545.027,55,
1721885545.536,55,
1721885547.035,56,
1721885547.538,56,
1721885548.524,56,
1721885549.507,56,
1721885550.504,65,
1721885551.508,65,
1721885553.507,65,
1721885553.005,65,
1721885554.507,90,
1721885555.502,90,
1721885556.528,90,
1721885557.519,90,
1721885560.037,90,
1721885561.028,72,
1721885561.525,71,
1721885563.006,71,
1721885563.502,47,
1721885565.011,44,
1721885566.009,43,
1721885566.499,37,
1721885567.5,39,
1721885568.489,45,
1721885569.49,46,
1721885570.483,46,
1721885572.503,46,
1721885573.49,46,
1721885574.495,46,
1721885575.492,66,
1721885577.481,66,
1721885578.501,66,
1721885580.0,66,
1721885580.499,66,
1721885581.479,51,
1721885582.502,51,
1721885583.465,51,
1721885584.455,49,
1721885585.461,55,
1721885586.464,59,
1721885587.454,59,
1721885588.451,61,
1721885589.928,63,
1721885590.407,63,
1721885591.418,64,
1721885592.436,68,
1721885593.444,68,
1721885594.437,68,
1721885595.96,68,
1721885597.457,68,
1721885598.465,64,
1721885599.477,61,
1721885600.464,61,
1721885601.46,61,
1721885602.97,61,
1721885604.446,61,
1721885605.945,61,
1721885606.438,56,
1721885607.465,55,
1721885608.459,55,
1721885610.466,55,
1721885609.453,55,
1721885612.499,55,
1721885613.498,45,
1721885614.962,65,
1721885615.46,77,
1721885616.455,77,
1721885617.447,77,
1721885618.445,77,
1721885619.442,77,
1721885620.426,77,
1721885622.416,58,
1721885623.899,67,
1721885624.397,67,
1721885625.386,67,
1721885626.893,67,
1721885627.888,67,
1721885628.38,67,
1721885629.871,54,
1721885630.865,50,
1721885631.372,52,
1721885632.865,53,
1721885633.87,53,
1721885634.879,53,
1721885635.364,53,
1721885636.355,53,
1721885637.868,53,
1721885638.361,65,
1721885639.84,65,
1721885640.358,65,
1721885642.868,65,
1721885643.363,65,
1721885644.373,61,
1721885645.86,63,
1721885646.367,63,
1721885648.867,78,
1721885649.379,78,
1721885650.383,78,
1721885652.393,78,
1721885654.39,63,
1721885655.402,52,
1721885656.399,46,
1721885657.407,46,
1721885658.411,45,
1721885659.899,77,
1721885660.881,77,
1721885661.378,77,
1721885662.854,77,
1721885663.851,77,
1721885664.358,77,
1721885666.363,59,
1721885667.842,59,
1721885668.35,59,
1721885669.364,56,
1721885670.372,50,
1721885671.881,50,
1721885672.379,50,
1721885673.371,50,
1721885674.35,55,
1721885675.847,55,
1721885676.865,55,
1721885677.355,55,
1721885678.841,75,
1721885681.344,75,
1721885682.327,75,
1721885683.329,75,
1721885684.343,74,
1721885685.34,74,
1721885686.347,74,
1721885687.347,75,
1721885688.349,79,
1721885689.857,80,
1721885690.366,80,
1721885691.375,80,
1721885692.372,80,
1721885693.366,80,
1721885694.361,80,
1721885695.34,81,
1721885696.852,81,
1721885698.333,81,
1721885699.347,81,
1721885700.327,81,
1721885701.811,81,
1721885704.285,81,
1721885706.256,81,
1721885707.255,63,
1721885707.251,63,
1721885709.222,69,
1721885710.249,82,
1721885710.247,82,
1721885712.728,82,
1721885713.228,82,
1721885713.205,82,
1721885715.204,82,
1721885716.692,70,
1721885716.681,70,
1721885717.185,70,
1721885719.184,70,
1721885719.187,70,
1721885720.175,70,
1721885722.153,60,
1721885722.15,60,
1721885723.138,37,
1721885725.129,61,
1721885729.061,76,
1721885730.078,76,
1721885731.083,76,
1721885732.083,76,
1721885733.546,76,
1721885734.044,76,
1721885735.059,68,
1721885736.059,60,
1721885737.052,77,
1721885738.526,77,
1721885739.029,77,
1721885740.023,77,
1721885742.018,77,
1721885744.012,71,
1721885745.003,71,
1721885746.513,65,
1721885746.022,63,
1721885747.026,63,
1721885748.037,63,
1721885749.048,63,
1721885750.071,63,
1721885753.084,52,
1721885754.08,52,
1721885755.078,52,
1721885756.055,52,
1721885757.061,52,
1721885758.039,42,
1721885759.04,42,
1721885760.041,39,
1721885761.055,47,
1721885763.536,61,
1721885764.022,61,
1721885765.046,61,
1721885766.045,61,
1721885767.532,61,
1721885769.022,41,
1721885771.497,55,
1721885771.997,55,
1721885772.999,55,
1721885774.485,55,
1721885775.482,55,
1721885780.452,70,
1721885780.95,70,
1721885781.907,70,
1721885783.416,70,
1721885783.92,70,
1721885785.42,70,
1721885786.414,66,
1721885787.4,66,
1721885787.889,66,
1721885788.887,66,
1721885789.883,66,
1721885790.865,61,
1721885791.867,59,
1721885792.863,59,
1721885794.346,59,
1721885794.847,76,
1721885795.846,76,
1721885796.86,76,
1721885797.841,76,
1721885798.838,76,
1721885800.328,76,
1721885801.802,76,
1721885802.816,76,
1721885804.312,76,
1721885804.822,76,
1721885807.346,64,
1721885807.845,64,
1721885808.838,64,
1721885809.841,64,
1721885810.838,64,
1721885811.841,64,
1721885813.85,49,
1721885814.849,46,
1721885816.318,43,
1721885817.336,50,
1721885817.839,56,
1721885818.817,56,
1721885820.305,56,
1721885820.809,61,
1721885821.788,72,
1721885822.79,72,
1721885823.772,72,
1721885824.772,72,
1721885825.762,72,
1721885827.257,72,
1721885827.757,74,
1721885828.765,74,
1721885830.258,74,
1721885831.239,74,
1721885832.247,74,
1721885833.248,74,
1721885833.751,68,
1721885835.726,71,
1721885837.706,80,
1721885836.715,80,
1721885838.684,80,
1721885840.194,80,
1721885840.683,80,
1721885841.658,80,
1721885842.63,60,
1721885843.636,55,
1721885846.13,60,
1721885846.616,60,
1721885847.609,60,
1721885848.616,60,
1721885850.123,60,
1721885850.627,60,
1721885851.638,60,
1721885852.646,60,
1721885854.638,56,
1721885855.641,56,
1721885856.619,61,
1721885857.61,68,
1721885858.6,68,
1721885859.613,77,
1721885862.07,78,
1721885862.581,78,
1721885863.585,78,
1721885865.1,78,
1721885866.097,78,
1721885867.086,78,
1721885868.087,77,
1721885868.563,77,
1721885869.56,77,
1721885870.567,77,
1721885871.562,77,
1721885874.055,67,
1721885874.562,67,
1721885875.555,54,
1721885877.57,60,
1721885879.07,73,
1721885880.052,73,
1721885881.053,73,
1721885881.562,73,
1721885883.579,73,
1721885884.545,46,
1721885886.534,51,
1721885887.529,54,
1721885888.538,57,
1721885889.541,57,
1721885890.52,57,
1721885892.005,57,
1721885892.513,57,
1721885894.483,50,
1721885893.502,57,
1721885895.486,41,
1721885896.479,40,
1721885897.478,40,
1721885898.475,40,
1721885899.468,40,
1721885903.951,60,
1721885904.953,60,
1721885905.465,60,
1721885906.453,60,
1721885907.474,60,
1721885908.466,52,
1721885909.467,52,
1721885910.467,55,
1721885911.45,65,
1721885912.962,67,
1721885913.454,67,
1721885914.953,67,
1721885916.458,67,
1721885918.941,69,
1721885919.43,69,
1721885920.944,69,
1721885921.444,69,
1721885923.437,50,
1721885924.438,37,
1721885926.902,37,
1721885928.4,47,
1721885929.417,47,
1721885930.421,49,
1721885931.42,49,
1721885932.417,65,
1721885933.416,65,
1721885934.431,65,
1721885935.447,65,
1721885936.954,65,
1721885937.448,65,
1721885938.458,50,
1721885939.425,50,
1721885940.458,50,
1721885941.476,50,
1721885942.483,50,
1721885943.484,50,
1721885944.475,60,
1721885945.473,60,
1721885946.479,60,
