time,heart_rate
1721885111.527,111,
1721885112.51,110,
1721885113.499,109,
1721885114.983,110,
1721885115.484,110,
1721885116.482,109,
1721885118.003,109,
1721885118.505,109,
1721885119.496,110,
1721885120.5,108,
1721885121.491,108,
1721885122.49,106,
1721885125.011,107,
1721885125.505,107,
1721885127.499,106,
1721885128.499,106,
1721885130.006,105,
1721885130.486,105,
1721885131.972,105,
1721885133.983,87,
1721885134.485,84,
1721885135.48,84,
1721885136.97,84,
1721885137.464,83,
1721885138.446,83,
1721885139.452,82,
1721885140.438,81,
1721885141.917,79,
1721885142.424,79,
1721885143.439,80,
1721885144.441,79,
1721885145.454,79,
1721885146.446,79,
1721885147.466,79,
1721885148.464,79,
1721885149.97,80,
1721885150.464,83,
1721885151.96,86,
1721885152.475,88,
1721885154.486,86,
1721885155.999,84,
1721885156.487,82,
1721885157.978,81,
1721885158.966,80,
1721885159.483,80,
1721885160.496,80,
1721885161.48,80,
1721885162.972,81,
1721885163.466,81,
1721885164.962,80,
1721885165.478,80,
1721885166.457,79,
1721885167.934,78,
1721885168.454,78,
1721885169.439,78,
1721885170.928,78,
1721885172.428,82,
1721885173.924,80,
1721885174.922,80,
1721885175.916,76,
1721885177.45,75,
1721885178.452,75,
1721885179.936,75,
1721885180.436,75,
1721885181.417,75,
1721885182.416,75,
1721885183.412,77,
1721885184.413,76,
1721885185.435,75,
1721885186.418,73,
1721885187.903,72,
1721885188.402,71,
1721885189.399,71,
1721885190.893,71,
1721885192.383,73,
1721885193.376,75,
1721885194.362,78,
1721885195.881,80,
1721885196.401,81,
1721885197.381,81,
1721885198.398,80,
1721885200.9,85,
1721885201.901,87,
1721885203.394,90,
1721885204.874,91,
1721885205.377,91,
1721885206.374,91,
1721885207.885,90,
1721885208.381,90,
1721885209.378,90,
1721885210.364,90,
1721885211.861,90,
1721885212.36,91,
1721885213.362,91,
1721885214.365,90,
1721885215.364,89,
1721885217.841,88,
1721885218.337,88,
1721885219.347,88,
1721885220.841,88,
1721885221.331,88,
1721885222.828,88,
1721885223.837,88,
1721885225.816,95,
1721885227.313,98,
1721885229.803,100,
1721885230.316,101,
1721885231.321,101,
1721885233.287,101,
1721885233.29,101,
1721885235.782,99,
1721885236.284,98,
1721885236.277,98,
1721885238.791,95,
1721885239.279,93,
1721885239.269,93,
1721885241.281,93,
1721885242.29,93,
1721885243.301,93,
1721885244.815,93,
1721885246.328,96,
1721885247.309,93,
1721885248.295,95,
1721885248.287,95,
1721885250.288,95,
1721885251.281,94,
1721885251.288,94,
1721885253.295,90,
1721885254.28,88,
1721885256.259,86,
1721885257.259,86,
1721885257.227,86,
1721885259.225,85,
1721885260.225,86,
1721885260.238,86,
1721885262.249,85,
1721885263.227,85,
1721885263.227,85,
1721885265.222,85,
1721885266.211,85,
1721885266.736,85,
1721885268.725,86,
1721885269.216,86,
1721885270.19,87,
1721885272.201,90,
1721885272.194,90,
1721885274.204,93,
1721885276.171,87,
1721885278.683,83,
1721885278.704,83,
1721885280.218,80,
1721885281.687,79,
1721885281.193,79,
1721885283.213,79,
1721885284.208,79,
1721885284.2,79,
1721885285.699,79,
1721885287.185,79,
1721885287.173,79,
1721885288.175,82,
1721885290.172,84,
1721885290.161,84,
1721885291.647,85,
1721885293.648,86,
1721885293.152,86,
1721885294.138,86,
1721885296.15,83,
1721885296.157,83,
1721885297.139,84,
1721885299.133,83,
1721885299.14,83,
1721885300.643,83,
1721885302.671,84,
1721885302.659,84,
1721885303.662,84,
1721885305.149,82,
1721885305.164,82,
1721885306.164,82,
1721885308.179,82,
1721885308.176,82,
1721885309.177,82,
1721885311.142,80,
1721885311.146,80,
1721885312.149,81,
1721885314.168,82,
1721885314.679,82,
1721885315.176,82,
1721885317.17,80,
1721885317.161,80,
1721885318.163,80,
1721885320.141,83,
1721885320.156,83,
1721885321.164,84,
1721885323.171,84,
1721885323.188,84,
1721885324.183,84,
1721885326.664,82,
1721885329.179,82,
1721885330.151,82,
1721885332.155,82,
1721885332.156,82,
1721885333.63,82,
1721885335.144,81,
1721885335.655,81,
1721885336.148,80,
1721885338.152,78,
1721885338.146,78,
1721885339.126,77,
1721885341.111,77,
1721885341.093,77,
1721885342.087,77,
1721885343.08,77,
1721885344.07,77,
1721885345.067,77,
1721885346.095,77,
1721885347.092,77,
1721885348.078,77,
1721885349.08,77,
1721885353.992,83,
1721885355.005,83,
1721885355.981,88,
1721885358.505,90,
1721885358.006,93,
1721885359.014,90,
1721885360.038,93,
1721885362.488,91,
1721885363.004,91,
1721885364.482,91,
1721885365.504,90,
1721885366.008,90,
1721885367.496,90,
1721885367.998,90,
1721885369.488,90,
1721885371.004,90,
1721885372.479,90,
1721885374.501,89,
1721885374.001,87,
1721885375.502,86,
1721885375.999,85,
1721885377.49,85,
1721885377.991,85,
1721885379.51,85,
1721885380.013,84,
1721885382.019,84,
1721885381.02,84,
1721885383.033,83,
1721885385.041,82,
1721885386.533,82,
1721885387.019,82,
1721885390.535,87,
1721885391.037,88,
1721885393.51,90,
1721885394.019,89,
1721885395.007,89,
1721885396.017,88,
1721885397.01,88,
1721885398.482,87,
1721885399.976,86,
1721885400.945,86,
1721885401.953,86,
1721885402.967,86,
1721885403.938,86,
1721885404.959,87,
1721885405.942,86,
1721885406.958,86,
1721885408.463,85,
1721885408.962,85,
1721885410.463,86,
1721885410.955,87,
1721885411.937,88,
1721885412.929,88,
1721885414.434,88,
1721885415.405,87,
1721885415.899,86,
1721885416.899,85,
1721885417.895,86,
1721885419.379,86,
1721885419.89,87,
1721885420.898,87,
1721885421.898,87,
1721885422.92,86,
1721885423.888,86,
1721885424.883,86,
1721885425.861,86,
1721885427.366,86,
1721885428.87,86,
1721885429.846,88,
1721885430.833,89,
1721885432.838,91,
1721885433.834,92,
1721885434.842,93,
1721885435.832,94,
1721885437.327,93,
1721885437.847,93,
1721885438.849,93,
1721885439.858,89,
