time,temperature
1721884860.136,36.05,
1721884860.64,36.05,
1721884861.648,36.05,
1721884863.607,36.05,
1721884865.104,36.05,
1721884866.096,36.08,
1721884866.602,36.08,
1721884868.125,36.08,
1721884868.628,36.08,
1721884869.624,36.08,
1721884870.623,36.08,
1721884872.104,36.08,
1721884872.603,36.08,
1721884873.598,36.08,
1721884875.078,36.08,
1721884875.582,36.06,
1721884878.089,36.06,
1721884878.597,36.06,
1721884879.61,36.06,
1721884880.608,36.06,
1721884882.102,36.06,
1721884882.608,36.06,
1721884884.081,36.06,
1721884884.577,36.06,
1721884885.574,36.06,
1721884886.572,36.06,
1721884887.588,36.06,
1721884888.574,36.06,
1721884890.569,36.06,
1721884892.045,36.06,
1721884893.042,36.06,
1721884893.553,36.06,
1721884894.548,36.06,
1721884896.026,36.06,
1721884897.017,36.06,
1721884897.509,36.06,
1721884899.008,36.06,
1721884899.494,36.06,
1721884901.474,36.06,
1721884904.944,36.06,
1721884905.432,36.06,
1721884906.423,36.06,
1721884907.945,36.06,
1721884908.447,36.06,
1721884909.447,36.06,
1721884910.924,36.06,
1721884911.927,36.06,
1721884912.409,36.06,
1721884913.876,36.06,
1721884914.375,36.06,
1721884915.862,36.05,
1721884917.868,36.05,
1721884918.863,36.05,
1721884919.848,36.05,
1721884920.816,36.05,
1721884921.321,36.05,
1721884922.302,36.05,
1721884924.309,36.05,
1721884925.298,36.05,
1721884926.294,36.05,
1721884927.775,36.05,
1721884928.27,36.05,
1721884929.763,36.05,
1721884930.267,36.05,
1721884931.262,36.05,
1721884932.772,36.05,
1721884933.259,36.05,
1721884934.271,36.05,
1721884936.271,36.06,
1721884937.273,36.06,
1721884938.241,36.06,
1721884939.243,36.06,
1721884940.228,36.06,
1721884941.744,36.06,
1721884942.734,36.06,
1721884943.223,36.06,
1721884944.22,36.06,
1721884945.212,36.02,
1721884946.684,36.02,
1721884947.679,36.02,
1721884948.7,36.02,
1721884949.2,36.02,
1721884950.2,36.02,
1721884951.189,36.02,
1721884952.188,36.02,
1721884954.177,36.02,
1721884955.157,36.07,
1721884957.144,36.07,
1721884958.16,36.07,
1721884959.645,36.07,
1721884960.657,36.07,
1721884961.158,36.07,
1721884962.173,36.07,
1721884963.185,36.07,
1721884965.175,36.09,
1721884966.176,36.09,
1721884967.191,36.09,
1721884968.181,36.09,
1721884969.182,36.09,
1721884970.691,36.09,
1721884971.678,36.09,
1721884972.18,36.09,
1721884973.177,36.09,
1721884974.169,36.09,
1721884975.159,36.09,
1721884976.643,36.09,
1721884977.624,36.09,
1721884979.103,36.09,
1721884980.56,36.09,
1721884981.064,36.09,
1721884982.054,36.09,
1721884983.027,36.09,
1721884985.02,36.09,
1721884984.523,36.09,
1721884987.042,36.14,
1721884988.544,36.14,
1721884989.039,36.14,
1721884990.027,36.14,
1721884991.006,36.14,
1721884992.498,36.14,
1721884992.999,36.14,
1721884994.0,36.14,
1721884994.995,36.14,
1721884996.492,36.12,
1721884996.98,36.12,
1721884997.976,36.12,
1721884998.963,36.12,
1721885000.453,36.12,
1721885000.944,36.12,
1721885001.926,36.12,
1721885003.926,36.12,
1721885004.919,36.12,
1721885006.898,36.08,
1721885008.382,36.08,
1721885008.881,36.08,
1721885010.899,36.08,
1721885012.38,36.08,
1721885013.888,36.08,
1721885015.346,36.08,
1721885015.844,36.13,
1721885016.824,36.13,
1721885017.815,36.13,
1721885018.809,36.13,
1721885020.293,36.13,
1721885020.8,36.13,
1721885022.3,36.13,
1721885022.803,36.13,
1721885024.296,36.13,
1721885024.795,36.13,
1721885026.275,36.15,
1721885027.777,36.15,
1721885030.282,36.15,
1721885030.785,36.15,
1721885031.782,36.15,
1721885032.779,36.15,
1721885033.771,36.15,
1721885034.777,36.15,
1721885035.769,36.15,
1721885036.783,36.15,
1721885037.776,36.15,
1721885038.79,36.15,
1721885039.77,36.15,
1721885040.773,36.15,
1721885041.758,36.15,
1721885043.253,36.15,
1721885044.254,36.15,
1721885044.764,36.15,
1721885046.267,36.17,
1721885046.764,36.17,
1721885047.758,36.17,
1721885050.239,36.17,
1721885050.739,36.17,
1721885051.751,36.17,
1721885053.262,36.17,
1721885053.758,36.17,
1721885054.76,36.17,
1721885057.721,36.14,
1721885058.711,36.14,
1721885059.711,36.14,
1721885060.725,36.14,
1721885061.744,36.14,
1721885062.727,36.14,
1721885063.717,36.14,
1721885065.227,36.14,
1721885066.236,36.22,
1721885066.74,36.22,
1721885069.244,36.22,
1721885070.259,36.22,
1721885070.739,36.22,
1721885071.759,36.22,
1721885072.757,36.22,
1721885073.78,36.22,
1721885075.244,36.22,
1721885076.223,36.25,
1721885077.706,36.25,
1721885078.689,36.25,
1721885079.696,36.25,
1721885080.69,36.25,
1721885081.688,36.25,
1721885082.691,36.25,
1721885083.68,36.25,
1721885085.187,36.25,
1721885085.686,36.18,
1721885086.667,36.18,
1721885088.167,36.18,
1721885089.141,36.18,
1721885089.666,36.18,
1721885091.631,36.18,
1721885092.661,36.18,
1721885094.157,36.18,
1721885094.66,36.18,
1721885095.638,36.17,
1721885097.124,36.17,
1721885097.626,36.17,
1721885098.611,36.17,
1721885100.147,36.17,
1721885101.132,36.17,
1721885102.613,36.17,
1721885103.57,36.17,
1721885105.055,36.17,
1721885105.564,36.19,
1721885106.548,36.19,
1721885108.052,36.19,
1721885108.548,36.19,
1721885110.045,36.19,
1721885110.549,36.19,
1721885111.527,36.19,
1721885112.51,36.19,
1721885113.499,36.19,
1721885114.983,36.19,
1721885115.484,36.21,
1721885116.482,36.21,
1721885118.003,36.21,
1721885118.505,36.21,
1721885119.496,36.21,
1721885120.5,36.21,
1721885121.491,36.21,
1721885122.49,36.21,
1721885125.011,36.21,
1721885125.505,36.19,
1721885127.499,36.19,
1721885128.499,36.19,
1721885130.006,36.19,
1721885130.486,36.19,
1721885131.972,36.19,
1721885133.983,36.19,
1721885134.485,36.19,
1721885135.48,36.2,
1721885136.97,36.2,
1721885137.464,36.2,
1721885138.446,36.2,
1721885139.452,36.2,
1721885140.438,36.2,
1721885141.917,36.2,
1721885142.424,36.2,
1721885143.439,36.2,
1721885144.441,36.2,
1721885145.454,36.26,
1721885146.446,36.26,
1721885147.466,36.26,
1721885148.464,36.26,
1721885149.97,36.26,
1721885150.464,36.26,
1721885151.96,36.26,
1721885152.475,36.26,
1721885154.486,36.26,
1721885155.999,36.26,
1721885156.487,36.26,
1721885157.978,36.26,
1721885158.966,36.26,
1721885159.483,36.26,
1721885160.496,36.26,
1721885161.48,36.26,
1721885162.972,36.26,
1721885163.466,36.26,
1721885164.962,36.26,
1721885165.478,36.23,
1721885166.457,36.23,
1721885167.934,36.23,
1721885168.454,36.23,
1721885169.439,36.23,
1721885170.928,36.23,
1721885172.428,36.23,
1721885173.924,36.23,
1721885174.922,36.23,
1721885175.916,36.24,
1721885177.45,36.24,
1721885178.452,36.24,
1721885179.936,36.24,
1721885180.436,36.24,
1721885181.417,36.24,
1721885182.416,36.24,
1721885183.412,36.24,
1721885184.413,36.24,
1721885185.435,36.27,
1721885186.418,36.27,
1721885187.903,36.27,
1721885188.402,36.27,
1721885189.399,36.27,
1721885190.893,36.27,
1721885192.383,36.27,
1721885193.376,36.27,
1721885194.362,36.27,
1721885195.881,36.23,
1721885196.401,36.23,
1721885197.381,36.23,
1721885198.398,36.23,
1721885200.9,36.23,
1721885201.901,36.23,
1721885203.394,36.23,
1721885204.874,36.23,
1721885205.377,36.25,
1721885206.374,36.25,
1721885207.885,36.25,
1721885208.381,36.25,
1721885209.378,36.25,
1721885210.364,36.25,
1721885211.861,36.25,
1721885212.36,36.25,
1721885213.362,36.25,
1721885214.365,36.25,
1721885215.364,36.27,
1721885217.841,36.27,
1721885218.337,36.27,
1721885219.347,36.27,
1721885220.841,36.27,
1721885221.331,36.27,
1721885222.828,36.27,
1721885223.837,36.27,
1721885225.816,36.26,
1721885227.313,36.26,
1721885229.803,36.26,
1721885230.316,36.26,
1721885231.321,36.26,
1721885233.287,36.26,
1721885234.29,36.26,
1721885235.782,36.28,
1721885236.284,36.28,
1721885237.277,36.28,
1721885238.791,36.28,
1721885239.279,36.28,
1721885240.269,36.28,
1721885241.281,36.28,
1721885242.29,36.28,
1721885243.301,36.28,
1721885244.815,36.28,
1721885246.328,36.29,
1721885247.309,36.29,
1721885248.295,36.29,
1721885249.287,36.29,
1721885250.288,36.29,
1721885251.281,36.29,
1721885252.288,36.29,
1721885253.295,36.29,
1721885255.28,36.26,
1721885256.259,36.26,
1721885257.259,36.26,
1721885258.227,36.26,
1721885259.225,36.26,
1721885260.225,36.26,
1721885261.238,36.26,
1721885262.249,36.26,
1721885263.227,36.26,
1721885264.227,36.26,
1721885265.222,36.27,
1721885266.211,36.27,
1721885267.736,36.27,
1721885268.725,36.27,
1721885269.216,36.27,
1721885271.19,36.27,
1721885272.201,36.27,
1721885273.194,36.27,
1721885274.204,36.27,
1721885277.171,36.27,
1721885278.683,36.27,
1721885279.704,36.27,
1721885280.218,36.27,
1721885281.687,36.27,
1721885282.193,36.27,
1721885283.213,36.27,
1721885284.208,36.27,
1721885285.2,36.29,
1721885286.699,36.29,
1721885287.185,36.29,
1721885288.173,36.29,
1721885289.175,36.29,
1721885290.172,36.29,
1721885291.161,36.29,
1721885292.647,36.29,
1721885293.648,36.29,
1721885294.152,36.29,
1721885295.138,36.29,
1721885296.15,36.29,
1721885297.157,36.29,
1721885298.139,36.29,
