time,acc_deviation
1721884919.848,1.17,
1721884920.816,0.27,
1721884921.321,0.8,
1721884922.302,0.33,
1721884924.309,0.42,
1721884925.298,0.43,
1721884926.294,0.66,
1721884927.775,0.3,
1721884928.27,1.54,
1721884929.763,1.25,
1721884930.267,0.58,
1721884931.262,0.38,
1721884932.772,0.31,
1721884933.259,0.41,
1721884934.271,2.01,
1721884936.271,0.76,
1721884937.273,0.46,
1721884938.241,0.31,
1721884939.243,0.34,
1721884940.228,0.54,
1721884941.744,0.28,
1721884942.734,0.27,
1721884943.223,0.3,
1721884944.22,0.24,
1721884945.212,0.37,
1721884946.684,0.18,
1721884947.679,0.18,
1721884948.7,0.18,
1721884949.2,0.2,
1721884950.2,0.22,
1721884951.189,0.27,
1721884952.188,0.23,
1721884954.177,0.23,
1721884955.157,0.49,
1721884957.144,0.26,
1721884958.16,0.3,
1721884959.645,0.3,
1721884960.657,0.23,
1721884961.158,0.29,
1721884962.173,0.29,
1721884963.185,2.19,
1721884965.175,1.87,
1721884966.176,0.27,
1721884967.191,0.37,
1721884968.181,0.37,
1721884969.182,0.97,
1721884970.691,2.09,
1721884971.678,2.09,
1721884972.18,0.49,
1721884973.177,1.47,
1721884974.169,1.47,
1721884975.159,0.8,
1721884976.643,0.32,
1721884977.624,0.32,
1721884979.103,0.84,
1721884980.56,0.84,
1721884981.064,0.43,
1721884982.054,0.49,
1721884983.027,0.49,
1721884985.02,2.01,
1721884984.523,3.54,
1721884987.042,2.4699999999999998,
1721884988.544,1.69,
1721884989.039,1.69,
1721884990.027,3.69,
1721884991.006,4.24,
1721884992.498,4.24,
1721884992.999,3.34,
1721884994.0,2.31,
1721884994.995,2.31,
1721884996.492,2.33,
1721884996.98,1.46,
1721884997.976,0.9,
1721884998.963,0.92,
1721885000.453,1.03,
1721885000.944,3.16,
1721885001.926,1.8199999999999998,
1721885003.926,0.96,
1721885004.919,1.57,
1721885006.898,4.3,
1721885008.382,1.67,
1721885008.881,1.58,
1721885010.899,1.88,
1721885012.38,4.47,
1721885013.888,0.43,
1721885015.346,0.28,
1721885015.844,0.37,
1721885016.824,0.28,
1721885017.815,0.2,
1721885018.809,0.26,
1721885020.293,0.34,
1721885020.8,0.31,
1721885022.3,1.95,
1721885022.803,0.53,
1721885024.296,0.99,
1721885024.795,0.38,
1721885026.275,0.27,
1721885027.777,0.37,
1721885030.282,0.26,
1721885030.785,0.22,
1721885031.782,0.23,
1721885032.779,0.28,
1721885033.771,0.27,
1721885034.777,0.35,
1721885035.769,0.23,
1721885036.783,0.3,
1721885037.776,1.93,
1721885038.79,0.87,
1721885039.77,0.75,
1721885040.773,2.01,
1721885041.758,0.5,
1721885043.253,0.3,
1721885044.254,0.24,
1721885044.764,0.18,
1721885046.267,0.18,
1721885046.764,0.2,
1721885047.758,0.3,
1721885050.239,0.48,
1721885050.739,0.32,
1721885051.751,0.19,
1721885053.262,0.18,
1721885053.758,0.29,
1721885054.76,2.45,
1721885057.721,2.3,
1721885058.711,1.13,
1721885059.711,3.41,
1721885060.725,1.07,
1721885061.744,3.42,
1721885062.727,5.34,
1721885063.717,3.87,
1721885065.227,2.14,
1721885066.236,2.7199999999999998,
1721885066.74,2.03,
1721885069.244,2.15,
1721885070.259,3.12,
1721885070.739,1.0,
1721885071.759,1.41,
1721885072.757,1.86,
1721885073.78,2.06,
1721885075.244,1.78,
1721885076.223,3.19,
1721885077.706,0.7,
1721885078.689,1.35,
1721885079.696,0.93,
1721885080.69,1.55,
1721885081.688,2.1399999999999997,
1721885082.691,1.93,
1721885083.68,0.17,
1721885085.187,0.29,
1721885085.686,0.57,
1721885086.667,6.6,
1721885088.167,0.92,
1721885089.141,1.95,
1721885089.666,0.66,
1721885091.631,0.33,
1721885092.661,0.21,
1721885094.157,0.22,
1721885094.66,0.17,
1721885095.638,0.26,
1721885097.124,1.55,
1721885097.626,1.69,
1721885098.611,0.97,
1721885100.147,0.34,
1721885101.132,2.35,
1721885102.613,1.66,
1721885103.57,2.1399999999999997,
1721885105.055,2.4,
1721885105.564,2.06,
1721885106.548,1.61,
1721885108.052,2.95,
1721885108.548,2.01,
1721885110.045,3.15,
1721885110.549,1.54,
1721885111.527,1.37,
1721885112.51,3.75,
1721885113.499,3.86,
1721885114.983,2.83,
1721885115.484,2.35,
1721885116.482,2.19,
1721885118.003,0.73,
1721885118.505,2.02,
1721885119.496,2.28,
1721885120.5,1.92,
1721885121.491,0.93,
1721885122.49,0.85,
1721885125.011,0.29,
1721885125.505,0.22,
1721885127.499,0.28,
1721885128.499,0.39,
1721885130.006,0.51,
1721885130.486,0.39,
1721885131.972,0.19,
1721885133.983,0.21,
1721885134.485,1.86,
1721885135.48,0.98,
1721885136.97,1.48,
1721885137.464,0.99,
1721885138.446,0.38,
1721885139.452,0.29,
1721885140.438,0.34,
1721885141.917,0.27,
1721885142.424,0.31,
1721885143.439,0.39,
1721885144.441,0.28,
1721885145.454,0.34,
1721885146.446,0.28,
1721885147.466,0.33,
1721885148.464,0.33,
1721885149.97,0.22,
1721885150.464,0.22,
1721885151.96,0.3,
1721885152.475,0.27,
1721885154.486,0.23,
1721885155.999,0.28,
1721885156.487,0.2,
1721885157.978,0.28,
1721885158.966,0.28,
1721885159.483,0.31,
1721885160.496,0.24,
1721885161.48,0.26,
1721885162.972,0.31,
1721885163.466,0.28,
1721885164.962,0.22,
1721885165.478,0.28,
1721885166.457,0.41,
1721885167.934,0.19,
1721885168.454,0.28,
1721885169.439,0.81,
1721885170.928,0.52,
1721885172.428,0.54,
1721885173.924,0.14,
1721885174.922,0.21,
1721885175.916,0.45,
1721885177.45,0.16,
1721885178.452,0.14,
1721885179.936,0.16,
1721885180.436,0.26,
1721885181.417,0.18,
1721885182.416,0.12,
1721885183.412,0.29,
1721885184.413,0.19,
1721885185.435,2.54,
1721885186.418,1.02,
1721885187.903,0.33,
1721885188.402,0.38,
1721885189.399,0.94,
1721885190.893,1.26,
1721885192.383,0.26,
1721885193.376,0.19,
1721885194.362,1.16,
1721885195.881,0.82,
1721885196.401,0.97,
1721885197.381,1.26,
1721885198.398,0.26,
1721885200.9,1.15,
1721885201.901,0.97,
1721885203.394,0.22,
1721885204.874,1.21,
1721885205.377,1.55,
1721885206.374,1.9,
1721885207.885,1.0,
1721885208.381,1.34,
1721885209.378,1.35,
1721885210.364,1.13,
1721885211.861,0.86,
1721885212.36,0.76,
1721885213.362,1.56,
1721885214.365,0.96,
1721885215.364,1.59,
1721885217.841,1.23,
1721885218.337,0.78,
1721885219.347,0.6,
1721885220.841,0.31,
1721885221.331,0.45,
1721885222.828,0.4,
1721885223.837,0.4,
1721885225.816,1.6,
1721885227.313,0.98,
1721885229.803,1.14,
1721885230.316,1.39,
1721885231.321,0.85,
1721885233.287,0.72,
1721885234.29,0.43,
1721885235.782,1.0,
1721885236.284,0.59,
1721885237.277,2.05,
1721885238.791,0.74,
1721885239.279,1.08,
1721885240.269,1.29,
1721885241.281,1.03,
1721885242.29,0.28,
1721885243.301,0.24,
1721885244.815,0.23,
1721885246.328,0.24,
1721885247.309,0.19,
1721885248.295,0.21,
1721885249.287,2.01,
1721885250.288,0.96,
1721885251.281,1.05,
1721885252.288,2.26,
1721885253.295,1.05,
1721885255.28,1.04,
1721885256.259,0.61,
1721885257.259,0.29,
1721885258.227,0.94,
1721885259.225,0.62,
1721885260.225,0.41,
1721885261.238,1.5,
1721885262.249,0.81,
1721885263.227,1.15,
1721885264.227,0.97,
1721885265.222,1.35,
1721885266.211,0.88,
1721885267.736,0.28,
1721885268.725,1.59,
1721885269.216,1.46,
1721885271.19,0.91,
1721885272.201,1.62,
1721885273.194,1.42,
1721885274.204,0.83,
1721885277.171,0.87,
1721885278.683,0.9,
1721885279.704,0.93,
1721885280.218,0.94,
1721885281.687,0.63,
1721885282.193,0.3,
1721885283.213,0.18,
1721885284.208,0.23,
1721885285.2,0.88,
1721885286.699,1.01,
1721885287.185,1.68,
1721885288.173,1.05,
1721885289.175,1.05,
1721885290.172,0.77,
1721885291.161,0.79,
1721885292.647,0.79,
1721885293.648,0.44,
1721885294.152,0.58,
1721885295.138,0.58,
1721885296.15,1.1400000000000001,
1721885297.157,2.44,
1721885298.139,2.44,
1721885299.133,1.07,
1721885300.14,0.37,
1721885301.643,0.37,
1721885302.671,0.5,
1721885303.659,0.27,
1721885304.662,0.27,
1721885305.149,0.23,
1721885306.164,0.25,
1721885307.164,0.25,
1721885308.179,0.33,
1721885309.176,0.31,
1721885310.177,0.31,
1721885311.142,0.23,
1721885312.146,0.46,
1721885313.149,0.46,
1721885314.168,1.31,
1721885315.679,0.92,
1721885316.176,0.92,
1721885317.17,0.94,
1721885318.161,0.96,
1721885319.163,0.96,
1721885320.141,1.03,
1721885321.156,1.88,
1721885322.164,1.88,
1721885323.171,0.96,
1721885324.188,0.66,
1721885325.183,0.66,
1721885327.664,0.2,
1721885330.179,0.65,
1721885331.151,0.65,
1721885332.155,1.37,
1721885333.156,0.94,
1721885334.63,0.94,
1721885335.144,0.93,
1721885336.655,0.81,
1721885337.148,0.81,
1721885338.152,0.77,
1721885339.146,0.95,
1721885340.126,0.95,
1721885341.111,0.69,
1721885342.093,0.77,
1721885343.087,0.77,
1721885344.08,0.33,
1721885345.07,1.52,
1721885346.067,1.52,
1721885347.095,0.86,
1721885348.092,1.65,
1721885349.078,1.65,
1721885350.08,0.49,
1721885354.992,0.67,
1721885356.005,0.28,
1721885356.981,0.42,
1721885358.505,1.65,
1721885359.006,0.83,
1721885360.014,0.39,
1721885361.038,0.39,
1721885363.488,1.26,
1721885364.004,1.26,
1721885365.482,0.84,
1721885366.504,0.54,
1721885367.008,0.54,
1721885368.496,0.56,
1721885368.998,0.25,
1721885370.488,0.25,
1721885372.004,0.21,
1721885373.479,0.21,
1721885374.501,0.18,
1721885375.001,0.53,
1721885376.502,0.53,
1721885376.999,0.64,
1721885378.49,1.41,
1721885378.991,1.41,
1721885380.51,0.67,
1721885381.013,0.9,
1721885383.019,1.42,
1721885382.02,0.9,
1721885384.033,0.54,
1721885386.041,0.4,
1721885387.533,0.21,
1721885388.019,0.21,
1721885391.535,0.16,
1721885392.037,0.91,
1721885394.51,2.34,
1721885395.019,0.68,
1721885396.007,1.83,
1721885397.017,1.83,
1721885398.01,0.59,
1721885399.482,0.29,
1721885399.976,0.29,
1721885400.945,0.18,
1721885401.953,0.34,
1721885402.967,0.18,
1721885403.938,0.22,
1721885404.959,1.51,
1721885405.942,1.41,
1721885406.958,1.09,
1721885408.463,0.95,
1721885408.962,0.76,
1721885410.463,1.18,
1721885410.955,0.53,
1721885411.937,0.47,
1721885412.929,1.28,
1721885414.434,0.94,
1721885415.405,1.2,
1721885415.899,0.82,
1721885416.899,0.74,
1721885417.895,0.34,
1721885419.379,1.31,
1721885419.89,0.76,
1721885420.898,0.51,
1721885421.898,0.96,
1721885422.92,0.57,
1721885423.888,0.31,
1721885424.883,0.76,
1721885425.861,0.84,
1721885427.366,0.26,
1721885428.87,1.31,
1721885429.846,1.41,
1721885430.833,0.5,
1721885432.838,0.99,
1721885433.834,0.45,
1721885434.842,1.21,
1721885435.832,0.87,
1721885437.327,0.15,
1721885437.847,0.51,
1721885438.849,1.43,
1721885439.858,1.48,
1721885441.345,0.92,
1721885442.336,0.68,
1721885442.833,0.97,
1721885443.815,0.99,
1721885444.826,0.86,
1721885445.838,0.73,
1721885447.846,1.37,
1721885448.877,0.59,
1721885450.385,0.68,
1721885450.882,1.42,
1721885453.387,0.42,
1721885453.88,1.08,
1721885454.868,0.84,
1721885455.879,0.77,
1721885457.386,0.38,
1721885457.886,0.67,
1721885459.882,1.28,
1721885460.849,0.59,
1721885462.33,0.9,
1721885463.311,0.74,
1721885463.816,0.67,
1721885465.313,0.57,
1721885465.808,0.15,
1721885466.798,0.49,
1721885468.295,0.2,
1721885469.801,0.19,
1721885471.286,0.17,
1721885471.788,0.18,
1721885472.798,0.14,
1721885473.824,0.2,
1721885474.828,0.39,
1721885476.832,1.4,
1721885477.842,2.28,
1721885479.794,1.5,
1721885480.808,0.64,
1721885482.291,0.59,
1721885482.778,0.34,
1721885483.761,0.56,
1721885487.224,1.17,
1721885489.209,0.63,
1721885489.707,0.25,
1721885490.698,0.25,
1721885492.184,1.0,
1721885493.172,0.88,
1721885494.652,0.54,
1721885496.176,0.21,
1721885498.69,0.96,
1721885500.176,1.44,
1721885501.164,0.32,
1721885502.671,1.03,
1721885505.634,0.83,
1721885506.636,0.69,
1721885508.141,1.68,
1721885509.649,1.16,
1721885511.124,0.71,
1721885512.607,1.18,
1721885513.601,0.66,
1721885514.571,1.8,
1721885516.084,1.7,
1721885516.579,1.08,
1721885518.062,1.03,
1721885518.561,0.35,
1721885519.563,0.43,
1721885520.566,0.19,
1721885521.545,0.26,
1721885522.548,0.24,
1721885523.556,0.31,
1721885524.549,0.26,
1721885525.539,0.59,
1721885527.036,1.83,
1721885527.526,1.9,
1721885529.021,1.04,
1721885530.037,1.3,
1721885530.533,0.6,
1721885532.014,0.76,
1721885532.503,0.63,
1721885533.525,0.16,
1721885535.014,1.21,
1721885535.517,1.7,
1721885537.019,1.2,
1721885537.524,0.26,
1721885538.538,0.15,
1721885540.013,0.17,
1721885540.504,0.15,
1721885541.506,0.21,
1721885542.512,0.2,
1721885543.516,0.18,
1721885545.027,0.12,
1721885545.536,0.15,
1721885547.035,0.23,
1721885547.538,0.19,
1721885548.524,1.41,
1721885549.507,1.08,
1721885550.504,0.89,
1721885551.508,1.05,
1721885553.507,0.64,
1721885553.005,0.84,
1721885554.507,0.65,
1721885555.502,0.61,
1721885556.528,0.39,
1721885557.519,1.9,
1721885560.037,0.92,
1721885561.028,0.65,
1721885561.525,0.48,
1721885563.006,0.31,
1721885563.502,0.2,
1721885565.011,0.58,
1721885566.009,0.76,
1721885566.499,0.48,
1721885567.5,0.33,
1721885568.489,0.62,
1721885569.49,0.6,
1721885570.483,0.53,
1721885572.503,0.64,
1721885573.49,0.83,
1721885574.495,0.58,
1721885575.492,0.56,
1721885577.481,0.42,
1721885578.501,0.3,
1721885580.0,0.2,
1721885580.499,0.27,
1721885581.479,0.22,
1721885582.502,0.23,
1721885583.465,0.26,
1721885584.455,0.25,
1721885585.461,0.17,
1721885586.464,0.19,
1721885587.454,0.19,
1721885588.451,0.15,
1721885589.928,0.14,
1721885590.407,0.15,
1721885591.418,0.62,
1721885592.436,1.75,
1721885593.444,1.18,
1721885594.437,1.43,
1721885595.96,2.47,
1721885597.457,0.85,
1721885598.465,1.26,
1721885599.477,0.98,
1721885600.464,0.98,
1721885601.46,0.53,
1721885602.97,0.69,
1721885604.446,1.2,
1721885605.945,1.15,
1721885606.438,0.7,
1721885607.465,1.46,
1721885608.459,1.31,
1721885610.466,0.64,
1721885609.453,1.11,
1721885612.499,0.57,
1721885613.498,1.0,
1721885614.962,1.04,
1721885615.46,1.0,
1721885616.455,0.79,
1721885617.447,0.53,
1721885618.445,0.82,
1721885619.442,0.88,
1721885620.426,0.89,
1721885622.416,1.34,
1721885623.899,0.88,
1721885624.397,1.23,
1721885625.386,1.47,
1721885626.893,1.1,
1721885627.888,0.9,
1721885628.38,0.8,
1721885629.871,1.47,
1721885630.865,1.06,
1721885631.372,1.1,
1721885632.865,0.61,
1721885633.87,0.44,
1721885634.879,0.24,
1721885635.364,0.31,
1721885636.355,1.09,
1721885637.868,0.5,
1721885638.361,0.48,
1721885639.84,0.12,
1721885640.358,1.31,
1721885642.868,0.73,
1721885643.363,1.43,
1721885644.373,0.79,
1721885645.86,0.6,
1721885646.367,0.87,
1721885648.867,0.54,
1721885649.379,0.89,
1721885650.383,0.68,
1721885652.393,1.01,
1721885654.39,0.62,
1721885655.402,1.12,
1721885656.399,0.98,
1721885657.407,0.89,
1721885658.411,0.26,
1721885659.899,0.25,
1721885660.881,1.08,
1721885661.378,0.28,
1721885662.854,0.92,
1721885663.851,1.03,
1721885664.358,1.28,
1721885666.363,0.8,
1721885667.842,0.5,
1721885668.35,0.87,
1721885669.364,0.4,
1721885670.372,0.19,
1721885671.881,2.53,
1721885672.379,1.41,
1721885673.371,0.23,
1721885674.35,0.15,
1721885675.847,0.22,
1721885676.865,0.49,
1721885677.355,0.6,
1721885678.841,0.48,
1721885681.344,0.29,
1721885682.327,0.56,
1721885683.329,0.95,
1721885684.343,0.45,
1721885685.34,0.86,
1721885686.347,0.58,
1721885687.347,1.23,
1721885688.349,1.36,
1721885689.857,0.46,
1721885690.366,1.24,
1721885691.375,1.11,
1721885692.372,0.82,
1721885693.366,0.46,
1721885694.361,0.23,
1721885695.34,0.27,
1721885696.852,0.18,
1721885698.333,0.84,
1721885699.347,1.03,
1721885700.327,0.79,
1721885701.811,0.91,
1721885704.285,0.91,
1721885706.256,1.22,
1721885707.255,1.01,
1721885708.251,0.71,
1721885709.222,0.92,
1721885710.249,0.73,
1721885711.247,0.82,
1721885712.728,0.67,
1721885713.228,0.52,
1721885714.205,0.39,
1721885715.204,0.62,
1721885716.692,0.44,
1721885717.681,0.77,
1721885718.185,0.77,
1721885719.184,0.33,
1721885720.187,0.19,
1721885721.175,0.19,
1721885722.153,0.94,
