time,tech_perfusion
1721884913.876,0.37,
1721884914.375,0.5,
1721884915.862,0.5,
1721884917.868,0.54,
1721884918.863,0.51,
1721884919.848,0.56,
1721884920.816,0.56,
1721884921.321,0.45,
1721884922.302,0.45,
1721884924.309,0.42,
1721884925.298,0.42,
1721884926.294,0.42,
1721884927.775,0.52,
1721884928.27,0.42,
1721884929.763,0.44,
1721884930.267,0.38,
1721884931.262,0.49,
1721884932.772,0.72,
1721884933.259,0.72,
1721884934.271,0.47,
1721884936.271,0.37,
1721884937.273,0.4,
1721884938.241,0.43,
1721884939.243,0.37,
1721884940.228,0.32,
1721884941.744,0.28,
1721884942.734,0.38,
1721884943.223,0.16,
1721884944.22,0.25,
1721884945.212,0.4,
1721884946.684,0.3,
1721884947.679,0.34,
1721884948.7,0.36,
1721884949.2,0.31,
1721884950.2,0.36,
1721884951.189,0.3,
1721884952.188,0.29,
1721884954.177,0.27,
1721884955.157,0.26,
1721884957.144,0.29,
1721884958.16,0.35,
1721884959.645,0.32,
1721884960.657,0.34,
1721884961.158,0.3,
1721884962.173,0.27,
1721884963.185,0.33,
1721884965.175,0.33,
1721884966.176,0.36,
1721884967.191,0.32,
1721884968.181,0.25,
1721884969.182,0.51,
1721884970.691,0.51,
1721884971.678,0.51,
1721884972.18,0.33,
1721884973.177,0.49,
1721884974.169,0.38,
1721884975.159,0.47,
1721884976.643,0.35,
1721884977.624,0.72,
1721884979.103,0.38,
1721884980.56,0.41,
1721884981.064,0.36,
1721884982.054,0.3,
1721884983.027,0.53,
1721884985.02,0.46,
1721884984.523,0.3,
1721884987.042,0.34,
1721884988.544,0.37,
1721884989.039,0.43,
1721884990.027,0.43,
1721884991.006,0.43,
1721884992.498,1.06,
1721884992.999,0.48,
1721884994.0,0.49,
1721884994.995,0.49,
1721884996.492,0.46,
1721884996.98,0.49,
1721884997.976,0.82,
1721884998.963,0.61,
1721885000.453,0.61,
1721885000.944,0.64,
1721885001.926,0.79,
1721885003.926,1.1400000000000001,
1721885004.919,0.84,
1721885006.898,0.6,
1721885008.382,0.42,
1721885008.881,0.42,
1721885010.899,0.4,
1721885012.38,0.62,
1721885013.888,0.45,
1721885015.346,0.57,
1721885015.844,0.54,
1721885016.824,0.63,
1721885017.815,0.61,
1721885018.809,0.5,
