time,perfusion
1721885038.79,0.6,
1721885039.77,0.6,
1721885040.773,0.6,
1721885040.758,0.6,
1721885042.253,0.6,
1721885043.254,0.6,
1721885043.764,0.6,
1721885045.267,0.6,
1721885046.764,0.4,
1721885046.758,0.4,
1721885049.239,0.4,
1721885049.739,0.4,
1721885050.751,0.4,
1721885053.262,0.4,
1721885052.758,0.4,
1721885053.76,0.4,
1721885056.721,0.4,
1721885057.711,0.4,
1721885058.711,0.4,
1721885059.725,0.4,
1721885060.744,0.4,
1721885061.727,0.4,
1721885062.717,0.4,
1721885064.227,0.4,
1721885065.236,0.4,
1721885065.74,0.4,
1721885068.244,0.4,
1721885069.259,0.4,
1721885069.739,0.4,
1721885070.759,0.4,
1721885071.757,0.4,
1721885073.78,0.4,
1721885074.244,0.4,
1721885075.223,0.4,
1721885076.706,0.4,
1721885077.689,0.4,
1721885077.696,0.4,
1721885077.69,0.4,
1721885077.688,0.4,
1721885077.691,0.4,
1721885077.68,0.4,
1721885084.187,0.41,
1721885084.686,0.41,
1721885085.667,0.41,
1721885087.167,0.41,
1721885088.141,0.41,
1721885088.666,0.41,
1721885090.631,0.41,
1721885091.661,0.41,
1721885093.157,0.4,
1721885093.66,0.4,
1721885094.638,0.4,
1721885096.124,0.36,
1721885096.626,0.4,
1721885097.611,0.4,
1721885099.147,0.4,
1721885100.132,0.4,
1721885101.613,0.4,
1721885102.57,0.4,
1721885104.055,0.4,
1721885104.564,0.4,
1721885105.548,0.4,
1721885107.052,0.4,
1721885107.548,0.4,
1721885109.045,0.4,
1721885109.549,0.4,
1721885110.527,0.4,
1721885111.51,0.4,
1721885112.499,0.4,
1721885113.983,0.4,
1721885114.484,0.4,
1721885115.482,0.4,
1721885117.003,0.4,
1721885117.505,0.4,
1721885118.496,0.4,
1721885119.5,0.4,
1721885120.491,0.4,
1721885121.49,0.4,
1721885124.011,0.4,
1721885124.505,0.4,
1721885126.499,0.54,
1721885127.499,0.54,
1721885129.006,0.54,
1721885129.486,0.54,
1721885130.972,0.54,
1721885132.983,0.54,
1721885133.485,0.54,
1721885134.48,0.61,
1721885135.97,0.61,
1721885136.464,0.61,
1721885137.446,0.61,
1721885138.452,0.61,
1721885139.438,0.61,
1721885140.917,0.61,
1721885141.424,0.61,
1721885142.439,0.61,
1721885143.441,0.63,
1721885144.454,0.62,
1721885145.446,0.62,
1721885146.466,0.62,
1721885147.464,0.63,
1721885148.97,0.63,
1721885149.464,0.63,
1721885150.96,0.63,
1721885151.475,0.64,
1721885153.486,0.64,
1721885154.999,0.64,
1721885155.487,0.64,
1721885156.978,0.64,
1721885157.966,0.64,
1721885158.483,0.64,
1721885159.496,0.64,
1721885160.48,0.64,
1721885161.972,0.64,
1721885162.466,0.64,
1721885163.962,0.64,
1721885164.478,0.64,
1721885165.457,0.64,
1721885166.934,0.64,
1721885167.454,0.64,
1721885168.439,0.63,
1721885169.928,0.62,
1721885171.428,0.62,
1721885172.924,0.62,
1721885173.922,0.62,
1721885174.916,0.62,
1721885176.45,0.62,
1721885177.452,0.58,
1721885178.936,0.58,
1721885179.436,0.57,
1721885180.417,0.54,
1721885181.416,0.53,
1721885182.412,0.53,
1721885183.413,0.52,
1721885184.435,0.51,
1721885185.418,0.5,
1721885186.903,0.47,
1721885187.402,0.46,
1721885188.399,0.46,
1721885189.893,0.46,
1721885191.383,0.45,
1721885192.376,0.45,
1721885193.362,0.45,
1721885194.881,0.45,
1721885195.401,0.45,
1721885196.381,0.45,
1721885197.398,0.45,
1721885199.9,0.45,
1721885200.901,0.45,
1721885202.394,0.45,
1721885203.874,0.45,
1721885204.377,0.45,
1721885205.374,0.45,
1721885206.885,0.45,
1721885207.381,0.45,
1721885208.378,0.45,
1721885209.364,0.45,
1721885210.861,0.45,
1721885211.36,0.45,
1721885212.362,0.45,
1721885213.365,0.45,
1721885214.364,0.45,
1721885216.841,0.45,
1721885217.337,0.45,
1721885218.347,0.45,
1721885219.841,0.45,
1721885220.331,0.45,
1721885221.828,0.49,
1721885222.837,0.49,
1721885224.816,0.45,
1721885226.313,0.49,
1721885228.803,0.49,
1721885229.316,0.49,
1721885230.321,0.49,
1721885232.287,0.49,
1721885233.29,0.49,
1721885234.782,0.49,
1721885235.284,0.49,
1721885236.277,0.49,
1721885237.791,0.49,
1721885238.279,0.49,
1721885239.269,0.49,
1721885240.281,0.49,
